ID,County_Soil,marginal_cost,marginal_qty
235,"STANLY COUNTY, NC",5.466652521,5839.68
236,"SEVIER COUNTY, TN",5.47350532,1611.45
237,"COOK COUNTY, MN",5.479932977,386.23
238,"COCKE COUNTY, TN",5.480665402,3296.84
239,"HAMILTON COUNTY, FL",5.487965233,44736.38
240,"BEAUFORT COUNTY, SC",5.525142933,15268.18
241,"BURKE COUNTY, GA",5.530589815,238740.65
242,"SUSSEX COUNTY, VA",5.530589815,116801.3
243,"CAMDEN COUNTY, NC",5.53180968,41646.53
244,"LITCHFIELD COUNTY, CT",5.560953442,17232.6
245,"SUWANNEE COUNTY, FL",5.562558883,104405.84
246,"NACOGDOCHES COUNTY, TX",5.562558883,2192.96
247,"KNOX COUNTY, NE",5.573215238,487379.2
248,"MARION COUNTY, SC",5.573215238,107861.6
249,"HARTFORD COUNTY, CT",5.577294927,32039.7
250,"CHESTER COUNTY, SC",5.583871594,1759.3
251,"ARCHER COUNTY, TX",5.58781911,179970.56
252,"JONES COUNTY, MS",5.59452795,10931.53
253,"NOTTOWAY COUNTY, VA",5.59452795,5241.24
254,"MONTGOMERY COUNTY, AR",5.613938042,277.2
255,"CLARENDON COUNTY, SC",5.61583982,159488.56
256,"BIBB COUNTY, AL",5.626496176,7518.89
257,"NESHOBA COUNTY, MS",5.626496176,4634.79
258,"DAVIDSON COUNTY, NC",5.626496176,4124.73
259,"MECKLENBURG COUNTY, VA",5.637152532,12616.92
260,"PICKAWAY COUNTY, OH",5.647808888,484863.45
261,"GOOCHLAND COUNTY, VA",5.647808888,9130.66
262,"BAKER COUNTY, FL",5.650588734,9634.24
263,"BAY COUNTY, FL",5.650588734,1633.63
264,"BRADFORD COUNTY, FL",5.650588734,10367.28
265,"BREVARD COUNTY, FL",5.650588734,96174.85
266,"BROWARD COUNTY, FL",5.650588734,7456.07
267,"CHARLOTTE COUNTY, FL",5.650588734,78749.44
268,"CITRUS COUNTY, FL",5.650588734,1068.14
269,"CLAY COUNTY, FL",5.650588734,8566.1
270,"COLLIER COUNTY, FL",5.650588734,181249.37
271,"DE SOTO COUNTY, FL",5.650588734,209858.88
272,"DIXIE COUNTY, FL",5.650588734,22787.07
273,"DUVAL COUNTY, FL",5.650588734,3371.99
274,"FLAGLER COUNTY, FL",5.650588734,14304.75
275,"FRANKLIN COUNTY, FL",5.650588734,356.05
276,"GLADES COUNTY, FL",5.650588734,145707.41
277,"HARDEE COUNTY, FL",5.650588734,150901.52
278,"HENDRY COUNTY, FL",5.650588734,571875.92
279,"HERNANDO COUNTY, FL",5.650588734,2722.72
280,"HIGHLANDS COUNTY, FL",5.650588734,242845.68
281,"HILLSBOROUGH COUNTY, FL",5.650588734,94457.44
282,"INDIAN RIVER COUNTY, FL",5.650588734,198611.95
283,"LAKE COUNTY, FL",5.650588734,91169.23
284,"LEE COUNTY, FL",5.650588734,58957.36
285,"MANATEE COUNTY, FL",5.650588734,178421.94
286,"MARTIN COUNTY, FL",5.650588734,165771.76
287,"MIAMI-DADE COUNTY, FL",5.650588734,130041.29
288,"NASSAU COUNTY, FL",5.650588734,6597.36
289,"OKEECHOBEE COUNTY, FL",5.650588734,54998.95
290,"ORANGE COUNTY, FL",5.650588734,36610.11
291,"OSCEOLA COUNTY, FL",5.650588734,43207.47
292,"PALM BEACH COUNTY, FL",5.650588734,953014.83
293,"PASCO COUNTY, FL",5.650588734,23938.99
294,"POLK COUNTY, FL",5.650588734,252731.25
295,"PUTNAM COUNTY, FL",5.650588734,26452.27
296,"ST JOHNS COUNTY, FL",5.650588734,41280.63
297,"ST LUCIE COUNTY, FL",5.650588734,280921.87
298,"SARASOTA COUNTY, FL",5.650588734,12336.02
299,"SEMINOLE COUNTY, FL",5.650588734,6743.96
300,"SUMTER COUNTY, FL",5.650588734,3204.44
301,"TAYLOR COUNTY, FL",5.650588734,24295.04
302,"VOLUSIA COUNTY, FL",5.650588734,11707.69
303,"WAKULLA COUNTY, FL",5.650588734,11917.14
304,"BARNSTABLE COUNTY, MA",5.657155299,4174.01
305,"LAWRENCE COUNTY, MS",5.658464402,18398.69
306,"SIMPSON COUNTY, MS",5.669120758,14278.88
307,"OUACHITA COUNTY, AR",5.679777114,2310
308,"WILSON COUNTY, NC",5.679777114,126669.31
309,"CHESTERFIELD COUNTY, SC",5.679777114,93410.24
310,"BAYLOR COUNTY, TX",5.686417763,329215.04
311,"MARION COUNTY, TN",5.688855811,11546.31
312,"GRAHAM COUNTY, NC",5.698837831,413.95
313,"LOWNDES COUNTY, GA",5.701089826,80278.35
314,"MOORE COUNTY, NC",5.701089826,32376.96
315,"SALUDA COUNTY, SC",5.701089826,7162.85
316,"UPSHUR COUNTY, TX",5.701089826,10595.2
317,"GILCHRIST COUNTY, FL",5.722402538,53302.48
318,"ANSON COUNTY, NC",5.722402538,10821.89
319,"MCMINN COUNTY, TN",5.733058894,21259.39
320,"FAIRFIELD COUNTY, CT",5.737332213,1848
321,"HAMPSHIRE COUNTY, MA",5.748865794,28743.79
322,"ATOKA COUNTY, OK",5.765897611,4213.44
323,"MADISON COUNTY, NC",5.778539932,1167.94
324,"KNOX COUNTY, TX",5.790881706,495042.24
325,"CURRITUCK COUNTY, NC",5.814865663,38911.49
326,"WAKE COUNTY, NC",5.8183089,39059.32
327,"BULLOCK COUNTY, AL",5.828965256,44170.9
328,"CLAY COUNTY, GA",5.828965256,57931.1
329,"LEE COUNTY, NC",5.828965256,11147.14
330,"BARTOW COUNTY, GA",5.83962077,23855.22
331,"COVINGTON COUNTY, MS",5.83962077,20107.47
332,"LAMAR COUNTY, MS",5.83962077,17836.89
